Ramp Metering API Debug File

Number of ramp meters = 62

Ramp metering queue detector association table

Num     Meter    Q1DetLn1  Q1DetLn2  Q2Detln1  Q2Detln2  MainDetLn1  MainDetLn2  MainDetLn3  MainDetLn4  MainDetLn5  MainDetLn6  Control   CritOccA   CritOccB   CritVolA   CritVolB  CritSpeed   Q1Thresh   Q2Thresh   RateStep    RateMin    RateMax
 37     25293       25294   7991468        -1        -1       23076       23077       23078       23079          -1          -1        1      15.00       0.00      95.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 38     25295       25296   7991469        -1        -1       23070       23071       23072       23073          -1          -1        1      15.00       0.00      95.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 39     25297       25298        -1        -1        -1       22685       22688       22689       22690          -1          -1        1      12.00       0.00      95.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 40     25299       25300   7991470        -1        -1       22694       22696       22697       22698       22699          -1        1      12.00       0.00      95.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 41     25301       22753     22754   7821065   7991471       22701       23052       23053       23054          -1          -1        1      10.00       6.00     100.00      60.00      35.00       5.00       5.00     120.00       0.00    2160.00
 42     25302       22747        -1        -1        -1       22742       22745       22743       22742          -1          -1        1      15.00       6.00     100.00      60.00      35.00       3.20       0.00     240.00       0.00    1800.00
 43     25303       25304        -1        -1        -1       22710       22714       22715       22716          -1          -1        1      14.00       0.00      95.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 44     25305       22760     22759   7821064   7991472       22717       22719       22720       22721          -1          -1        1      12.00       9.00     100.00      90.00      35.00       5.00       5.00     120.00       0.00    2160.00
 45     25306     7821061   7991481        -1        -1       22789       22791       22792       22793          -1          -1        1      17.00       0.00      90.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 46     25307     7821063        -1        -1        -1       22777       22779       22780       22778          -1          -1        1      15.00       0.00      85.00       0.00      35.00       3.20       0.00     120.00       0.00     900.00
 47     25308     7821062        -1        -1        -1       22783       22784       22785       22782          -1          -1        1      15.00       0.00      85.00       0.00      35.00       3.20       0.00     120.00       0.00     900.00
 48   7608538       23110     23109        -1        -1       22636       23106       23107       23108          -1          -1        1      15.00       0.00     100.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 49   7608539     7821006   7991474        -1        -1     7992268     7992269     7992270     7992271          -1          -1        1      16.00       0.00     110.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 50   7608540     7821005   7991475        -1        -1     7992311     7992310     7992312     7992313          -1          -1        1      16.00       0.00     110.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 51   7608541     7821004   7991473        -1        -1     7992314     7992315     7992316     7992317          -1          -1        1      16.00       0.00     110.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 52   7608542     7821003   7991476        -1        -1     7992276     7992277     7992278     7992279          -1          -1        1      16.00       0.00     110.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 53   7608543     7821002   7991477        -1        -1     7992272     7992273     7992274     7992275          -1          -1        1      16.00       0.00     110.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 54   7608544     7821001        -1        -1        -1     7992284     7992285     7992286     7992287     7992288          -1        1      16.00       0.00      95.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 55   7608545     7821000   7991478        -1        -1     7992289     7992290     7992291     7992292          -1          -1        1      16.00       0.00     110.00       0.00      25.00       3.20       0.00     240.00       0.00    1800.00
 56   7608547     7820999   7991479        -1        -1     7992293     7992294     7992295     7992296          -1          -1        1      15.00       0.00     100.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 57   7608548     7820998        -1        -1        -1     7992280     7992281     7992282     7992283          -1          -1        1      15.00       0.00     100.00       0.00      35.00       3.20       0.00     120.00       0.00     900.00
 58   7608549     7820997   7991480        -1        -1     7992297     7992298     7992299     7992300          -1          -1        1      16.00       0.00     110.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 59   7608550     7820996        -1        -1        -1     7992301     7992302     7992303     7992304          -1          -1        1      15.00       0.00     100.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
 60   7608552     7820995        -1        -1        -1     7992305     7992306     7992307     7992308     7992309          -1        1      16.00       0.00     100.00       0.00      35.00       3.20       0.00     120.00       0.00     900.00
 61   7633335     7820994   7991434        -1        -1       23298       23300       23301       23302          -1          -1        1      16.00       0.00     100.00       0.00      35.00       3.20       0.00     240.00       0.00    1800.00
